L1,L2,L3,L4,L5,M12,tb
0.134761,0.2956,0.0417317,-0.08504,-0.345209,-70794.6,2.07321
0.134761,0.2956,0.0417317,-0.08504,-0.345209,-72443.6,2.07321
0.134761,0.2956,0.0417317,-0.08504,-0.345209,-74131.,2.07321
0.134761,0.2956,0.0417317,-0.08504,-0.345209,-75857.8,2.07321
0.134761,0.2956,0.0417317,-0.08504,-0.345209,-77624.7,2.07321
0.134761,0.2956,0.0417317,-0.08504,-0.345209,-79432.8,2.07321
0.134761,0.2956,0.0417317,-0.08504,-0.345209,-81283.1,2.07321
0.134761,0.2956,0.0417317,-0.08504,-0.345209,-83176.4,2.07321
0.134844,0.295635,0.0417763,-0.084092,-0.344251,-67608.3,2.07321
0.134844,0.295635,0.0417763,-0.084092,-0.344251,-69183.1,2.07321
0.134844,0.295635,0.0417763,-0.084092,-0.344251,-70794.6,2.07321
0.134844,0.295635,0.0417763,-0.084092,-0.344251,-72443.6,2.07321
0.134844,0.295635,0.0417763,-0.084092,-0.344251,-74131.,2.07321
0.134844,0.295635,0.0417763,-0.084092,-0.344251,-75857.8,2.07321
0.134844,0.295635,0.0417763,-0.084092,-0.344251,-77624.7,2.07321
0.134844,0.295635,0.0417763,-0.084092,-0.344251,-79432.8,2.07321
0.134926,0.295669,0.0418203,-0.0831479,-0.343298,-66069.3,2.07321
0.134926,0.295669,0.0418203,-0.0831479,-0.343298,-67608.3,2.07321
0.134926,0.295669,0.0418203,-0.0831479,-0.343298,-69183.1,2.07321
0.134926,0.295669,0.0418203,-0.0831479,-0.343298,-70794.6,2.07321
0.134926,0.295669,0.0418203,-0.0831479,-0.343298,-72443.6,2.07321
0.134926,0.295669,0.0418203,-0.0831479,-0.343298,-74131.,2.07321
0.134926,0.295669,0.0418203,-0.0831479,-0.343298,-75857.8,2.07321
0.134926,0.295669,0.0418203,-0.0831479,-0.343298,-77624.7,2.07321
0.135008,0.295704,0.0418638,-0.0822078,-0.342348,-64565.4,2.07321
0.135008,0.295704,0.0418638,-0.0822078,-0.342348,-66069.3,2.07321
0.135008,0.295704,0.0418638,-0.0822078,-0.342348,-67608.3,2.07321
0.135008,0.295704,0.0418638,-0.0822078,-0.342348,-69183.1,2.07321
0.135008,0.295704,0.0418638,-0.0822078,-0.342348,-70794.6,2.07321
0.135008,0.295704,0.0418638,-0.0822078,-0.342348,-72443.6,2.07321
0.135008,0.295704,0.0418638,-0.0822078,-0.342348,-74131.,2.07321
0.13509,0.295738,0.0419066,-0.0812715,-0.341402,-61659.5,2.07321
0.13509,0.295738,0.0419066,-0.0812715,-0.341402,-63095.7,2.07321
0.13509,0.295738,0.0419066,-0.0812715,-0.341402,-64565.4,2.07321
0.13509,0.295738,0.0419066,-0.0812715,-0.341402,-66069.3,2.07321
0.13509,0.295738,0.0419066,-0.0812715,-0.341402,-67608.3,2.07321
0.13509,0.295738,0.0419066,-0.0812715,-0.341402,-69183.1,2.07321
0.13509,0.295738,0.0419066,-0.0812715,-0.341402,-70794.6,2.07321
0.13509,0.295738,0.0419066,-0.0812715,-0.341402,-72443.6,2.07321
0.135171,0.295772,0.0419489,-0.0803392,-0.340459,-60256.,2.07321
0.135171,0.295772,0.0419489,-0.0803392,-0.340459,-61659.5,2.07321
0.135171,0.295772,0.0419489,-0.0803392,-0.340459,-63095.7,2.07321
0.135171,0.295772,0.0419489,-0.0803392,-0.340459,-64565.4,2.07321
0.135171,0.295772,0.0419489,-0.0803392,-0.340459,-66069.3,2.07321
0.135171,0.295772,0.0419489,-0.0803392,-0.340459,-67608.3,2.07321
0.135171,0.295772,0.0419489,-0.0803392,-0.340459,-69183.1,2.07321
0.135171,0.295772,0.0419489,-0.0803392,-0.340459,-70794.6,2.07321
0.135252,0.295805,0.0419907,-0.0794106,-0.33952,-58884.4,2.07321
0.135252,0.295805,0.0419907,-0.0794106,-0.33952,-60256.,2.07321
0.135252,0.295805,0.0419907,-0.0794106,-0.33952,-61659.5,2.07321
0.135252,0.295805,0.0419907,-0.0794106,-0.33952,-63095.7,2.07321
