L1,L2,L3,L4,L5,M12,tb
0.161231,0.30164,0.125743,-0.357056,-0.21088,-107152.,2.07321
0.161231,0.30164,0.125743,-0.357056,-0.21088,-109648.,2.07321
0.161231,0.30164,0.125743,-0.357056,-0.21088,-112202.,2.07321
0.161231,0.30164,0.125743,-0.357056,-0.21088,-114815.,2.07321
0.161231,0.30164,0.125743,-0.357056,-0.21088,-117490.,2.07321
0.161231,0.30164,0.125743,-0.357056,-0.21088,-120226.,2.07321
0.161231,0.30164,0.125743,-0.357056,-0.21088,-123027.,2.07321
0.161231,0.30164,0.125743,-0.357056,-0.21088,-125893.,2.07321
0.161231,0.30164,0.125743,-0.357056,-0.21088,-128825.,2.07321
0.161231,0.30164,0.125743,-0.357056,-0.21088,-131826.,2.07321
0.161231,0.30164,0.125743,-0.357056,-0.21088,-134896.,2.07321
0.161231,0.30164,0.125743,-0.357056,-0.21088,-138038.,2.07321
0.161313,0.301681,0.125832,-0.356318,-0.209504,-102329.,2.07321
0.161313,0.301681,0.125832,-0.356318,-0.209504,-104713.,2.07321
0.161313,0.301681,0.125832,-0.356318,-0.209504,-107152.,2.07321
0.161313,0.301681,0.125832,-0.356318,-0.209504,-109648.,2.07321
0.161313,0.301681,0.125832,-0.356318,-0.209504,-112202.,2.07321
0.161313,0.301681,0.125832,-0.356318,-0.209504,-114815.,2.07321
0.161313,0.301681,0.125832,-0.356318,-0.209504,-117490.,2.07321
0.161313,0.301681,0.125832,-0.356318,-0.209504,-120226.,2.07321
0.161313,0.301681,0.125832,-0.356318,-0.209504,-123027.,2.07321
0.161313,0.301681,0.125832,-0.356318,-0.209504,-125893.,2.07321
0.161313,0.301681,0.125832,-0.356318,-0.209504,-128825.,2.07321
0.161394,0.301721,0.125921,-0.355585,-0.208131,-97723.7,2.07321
0.161394,0.301721,0.125921,-0.355585,-0.208131,-100000.,2.07321
0.161394,0.301721,0.125921,-0.355585,-0.208131,-102329.,2.07321
0.161394,0.301721,0.125921,-0.355585,-0.208131,-104713.,2.07321
0.161394,0.301721,0.125921,-0.355585,-0.208131,-107152.,2.07321
0.161394,0.301721,0.125921,-0.355585,-0.208131,-109648.,2.07321
0.161394,0.301721,0.125921,-0.355585,-0.208131,-112202.,2.07321
0.161394,0.301721,0.125921,-0.355585,-0.208131,-114815.,2.07321
0.161394,0.301721,0.125921,-0.355585,-0.208131,-117490.,2.07321
0.161394,0.301721,0.125921,-0.355585,-0.208131,-120226.,2.07321
0.161394,0.301721,0.125921,-0.355585,-0.208131,-123027.,2.07321
0.161475,0.301761,0.126009,-0.354857,-0.206763,-93325.4,2.07321
0.161475,0.301761,0.126009,-0.354857,-0.206763,-95499.3,2.07321
0.161475,0.301761,0.126009,-0.354857,-0.206763,-97723.7,2.07321
0.161475,0.301761,0.126009,-0.354857,-0.206763,-100000.,2.07321
0.161475,0.301761,0.126009,-0.354857,-0.206763,-102329.,2.07321
0.161475,0.301761,0.126009,-0.354857,-0.206763,-104713.,2.07321
0.161475,0.301761,0.126009,-0.354857,-0.206763,-107152.,2.07321
0.161475,0.301761,0.126009,-0.354857,-0.206763,-109648.,2.07321
0.161475,0.301761,0.126009,-0.354857,-0.206763,-112202.,2.07321
0.161475,0.301761,0.126009,-0.354857,-0.206763,-114815.,2.07321
0.161475,0.301761,0.126009,-0.354857,-0.206763,-117490.,2.07321
0.161555,0.301801,0.126096,-0.354136,-0.205398,-89125.1,2.07321
